Step,EFA,GLD,NFLX,NOW,NVDA,PANW,PLTR,QQQ,TSLA,V,XLE,XLF
71,83.0674848473618,338.7364909621066,1144.171938937559,19107138.268706847,2.167157240113342e+54,290.6778030003581,144.00560056738888,118564.28612341035,282.3537082926173,349.0330256638958,inf,48.683358043425876
72,83.09425400637627,339.2168514123255,1146.5871262332673,22033300.46927373,1.1828379406257326e+55,292.9337251335597,144.8542228060355,128271.11478052799,282.95224662739065,349.29517038341567,inf,48.70901557918224
73,83.12046774168105,339.6669986131832,1149.4885211296155,25407582.24303009,6.455948686540811e+55,295.1942686756012,145.82017973612085,138772.49857742575,283.4718130627961,349.57914979402636,inf,48.738399794481296
74,83.15172196497969,340.14833556469137,1152.2931690593307,29298622.201859627,3.523667276110479e+56,297.48376080588827,146.64905288974145,150133.54000883305,284.14433414400213,349.84943237211615,inf,48.76682430599731
75,83.17630826418677,340.62729329210083,1154.7859182473323,33785536.53644609,1.9232233209376282e+57,299.8468474829186,147.57554188653214,162424.82825880396,284.7563273332296,350.13861007368376,inf,48.7980199040032
76,83.19682567604428,341.054668013296,1157.6942376508182,38959607.15528043,1.0496984114462607e+58,302.17737265810445,148.4619521419373,175722.20830952004,285.39644146396955,350.4009500508081,inf,48.82801987775452
77,83.22225618775485,341.53190125472855,1160.2781772676599,44926075.99255596,5.729270974395288e+58,304.5313652891637,149.3867327224294,190108.69140602046,286.028227497443,350.6563735073253,inf,48.85839479387481
78,83.25680879544146,342.02622714157144,1162.5829989645358,51806277.40057364,3.127045400861642e+59,306.95764839422014,150.25189230847937,205672.69027291934,286.62684173291996,350.928822678941,inf,48.890877664154154
79,83.28911597930323,342.5130263969537,1165.0064683526682,59740125.15085984,1.7067464574028314e+60,309.3204220189156,151.1583275365751,222510.95141138916,287.20773246234006,351.21127277380634,inf,48.925456610999134
80,83.31717569472326,342.9989709712152,1167.7677410940032,68889015.64683726,9.315449878196348e+60,311.736179286792,152.09252927241664,240727.54094267916,287.6438417925274,351.4487754602961,inf,48.954799020588474
81,83.34283857636038,343.48020865304704,1170.2188458250303,79439023.42351353,5.084387669697556e+61,314.1755100442142,153.0072882357398,260435.4136986689,288.30371442145486,351.7321413544216,inf,48.98459516344171
82,83.37336356408724,343.9484426512156,1172.7028540212298,91604706.00476548,2.7750670460133903e+62,316.6500934742171,153.96260289080402,281757.3864959264,288.94068464127037,352.0431454578118,inf,49.01465358482535
83,83.39806350911573,344.45382662002754,1175.3631707101997,105633491.14698353,1.5146360997936323e+63,319.1650282837096,154.9324415292263,304824.8370475677,289.55886645551607,352.31079234042375,inf,49.044633874177364
84,83.42852488377513,344.91997572788017,1177.9702249151453,121810726.36220032,8.26690842692887e+63,321.68347234281134,155.7790036848134,329780.08449122705,290.1871683236466,352.6038652276989,inf,49.073868874422196
85,83.45258850073701,345.41603684458903,1180.5393486008027,140465418.6358289,4.512092043002193e+64,324.1868813265153,156.77238005320368,356778.8501154852,290.85870039353927,352.82252851692914,inf,49.10725028447949
86,83.47790546321882,345.88824676219883,1183.1000833941384,161976978.89787135,2.4627071636847947e+65,326.7045256727347,157.78027863150754,385988.1521361907,291.38576896385933,353.12279209895587,inf,49.13543923055961
87,83.49983072101422,346.3606692358787,1185.70751751081,186782911.7147514,1.3441495688170676e+66,329.2208341589844,158.7490020602595,417588.55075412866,292.05627136044984,353.3895011646734,inf,49.16066971521215
88,83.53185629693387,346.8588148345098,1188.3498940104585,215387772.10892686,7.336390172544148e+66,331.79946450667023,159.6713525076428,451776.3458335625,292.6731181168139,353.69190308403415,inf,49.18636716052323
89,83.56706072157058,347.3382120869733,1191.0689972563293,248373283.53788003,4.0042136688084045e+67,334.35635004996675,160.6032601122877,488762.90919424745,293.24520270168097,353.99536984741894,inf,49.21616661744928
90,83.5978698821394,347.81167150996174,1193.855978060122,286410391.8015943,2.185506322370514e+68,336.945926595148,161.57940389776718,528777.6258355858,293.7725538550986,354.2760798233729,inf,49.246470093492974
